id,company_name
189977,"Morningstar, Inc"
189998,The Mosaic Company
190006,IDT Corporation
190042,"Net 1 UEPS Technologies, Inc"
190057,Parker-Hannifin Corporation
190061,"Arrow Electronics, Inc"
190068,"Principal Financial Group, Inc"
190083,Unum Group
190114,Taiwan Semiconductor Manufacturing Company Limited
190120,"The Travelers Companies, Inc"
190121,Lancaster Colony Corporation
190124,CNA Financial Corporation
190129,Park-Ohio Holdings Corp
190132,Antero Resources Corporation
190135,"Total System Services, Inc"
190143,Cummins Inc
242699,ThredUp Inc
234361,Petronas Chemicals Group Bhd
190151,"Grupo Televisa, S.A.B"
190156,TELUS Corporation
190159,Tata Motors Limited
190161,"Apollo Commercial Real Estate Finance, Inc"
190172,AngloGold Ashanti Limited
190176,Mack-Cali Realty Corporation
190188,Dow Inc
207228,Regulus Therapeutics Inc
190208,Avista Corporation
190226,Cloud Peak Energy Inc
190231,Hexcel Corporation
190265,"Herman Miller, Inc"
190267,"Astec Industries, Inc"
190270,Pfizer Inc
220582,Eaton Vance High Income 2021 Target Term Trust
222490,MISC Berhad
190281,"Hurco Companies, Inc"
229276,Applied Materials Inc
215484,Nexi S.p.A
190283,Universal Corporation
238568,UniCredit S.p.A.
190290,Fox Corporation
190319,"NRG Energy, Inc"
190326,Iron Mountain Incorporated
190330,"Escalade, Incorporated"
190337,China State Construction International Holdings Limited
194353,"USANA Health Sciences, Inc"
189823,Wells Fargo & Company
190344,"National Presto Industries, Inc"
190370,Naspers Limited
191338,Manulife Financial Corporation
190371,NeoPhotonics Corporation
190378,Ethan Allen Interiors Inc
190382,IPG Photonics Corporation
239986,Willy Naessens Industriebouw
190418,Energen Corporation
190419,Brady Corporation
190439,"NetScout Systems, Inc"
190442,"CB Financial Services, Inc"
238546,Bank Polska Kasa Opieki S.A.
190452,Enbridge Inc
190454,Invesco Ltd
190462,Schroders plc
190464,Invesco Mortgage Capital Inc
190469,"NIKE, Inc"
190471,Newtek Business Services Corp
190477,NiSource Inc
206772,BlackBerry Limited
190478,J & J Snack Foods Corp
190490,EMC Corp
190100,"Tyler Technologies, Inc"
189960,DENTSPLY SIRONA Inc
240006,Gheeraert Transport
190495,National General Holdings Corp
190503,"J.B. Hunt Transport Services, Inc"
190511,"Avis Budget Group, Inc"
190523,E.ON SE
190525,"EOG Resources, Inc"
190528,Enterprise Products Partners L.P
190541,"Intuitive Surgical, Inc"
190542,NEXT plc
190544,Newmont Corporation
207224,City Holding Company
190551,NewMarket Corporation
190553,Nielsen Holdings plc
190564,"NMI Holdings, Inc"
190584,OFS Capital Corporation
206894,"Associated Capital Group, Inc"
190589,Corporate Office Properties Trust
190611,M&T Bank Corporation
190612,"Kimball Electronics, Inc"
190613,C&F Financial Corporation
190632,"Key Energy Services, Inc"
190633,eBay Inc
219797,Guggenheim Taxable Municipal Managed Duration Trust
190634,Bunzl plc
190638,British Land Company Plc
190640,"Kelly Services, Inc"
190643,"Illumina, Inc"
190649,FedEx Corporation
202214,Srisawad Corporation Public Company Limited
190654,Fidus Investment Corporation
190660,Marathon Oil Corporation
190661,"Zions Bancorporation, National Association"
190673,"Merck & Co., Inc"
190353,"Jack Henry & Associates, Inc"
190676,Fresh Del Monte Produce Inc
190706,CSPC Pharmaceutical Group Limited
190710,NorthWestern Corporation
238249,Opthea Ltd
190713,Experian plc
190715,"EVERTEC, Inc"
190718,Snam S.p.A
190720,"Badger Meter, Inc"
190729,"National Western Life Group, Inc"
190731,"bluebird bio, Inc"
190733,Edwards Lifesciences Corporation
190741,AIA Group Limited
190761,Navigator Holdings Ltd
207203,Northern Technologies International Corporation
190768,HKT Trust and HKT Limited
190779,Realty Income Corporation
190784,KB Home
190790,"New York Community Bancorp, Inc"
190796,China Resources Gas Group Limited
190798,Mechel PAO
190801,"Diamondback Energy, Inc"
190803,Centrais Eletricas Brasileiras S.A. - Eletrobras
190809,Matrix Service Company
190814,China Eastern Airlines Corporation Limited
202343,Airports of Thailand Public Company Limited
190819,"Exelixis, Inc"
190822,ING Groep N.V
190845,The Goodyear Tire & Rubber Company
190851,Adobe Inc
210977,Bachem Holding AG
190856,Southwest Airlines Co
190327,"Empire State Realty OP, L.P"
190857,Beijing Enterprises Holdings Limited
190862,"Akorn, Inc"
190876,Lululemon Athletica Inc
190883,iStar Inc
190892,Sprague Resources LP
190893,China Gas Holdings Limited
239990,Cordeel Zetel Temse
190929,Santander Consumer USA Holdings Inc
190939,"Schnitzer Steel Industries, Inc"
190940,The Charles Schwab Corporation
190941,General Finance Corporation
190949,"Syntel, Inc"
190953,Lennar Corporation
190962,Dean Foods Company
190963,Royal Bank of Canada
190443,"Nasdaq, Inc"
190971,Svenska Cellulosa Aktiebolaget SCA (publ)
190972,Canadian Pacific Railway Limited
190990,Synchrony Financial
190992,Southwestern Energy Company
191000,"Ambarella, Inc"
205043,Otelco Inc
191001,"Liberty TripAdvisor Holdings, Inc"
191004,"Supernus Pharmaceuticals, Inc"
191009,Public Storage
191020,General Electric Company
191021,Ares Commercial Real Estate Corporation
191024,Allegion plc
191026,Alkermes plc
191028,Sanmina Corporation
239992,Noordvlees Van Gool
242717,Healthwell Acquisition Corp I
242718,Mountain Crest Acquisition Corp III
191031,"Alaska Air Group, Inc"
242719,Churchill Capital V Corp
191035,Campbell Soup Company
191037,Heritage Financial Corporation
190440,Crown Castle International Corp. (REIT)
191041,Alstom SA
191051,"Starwood Property Trust, Inc"
191071,"Cirrus Logic, Inc"
191075,QUALCOMM Incorporated
191076,ManTech International Corporation
195067,"Radiant Logistics, Inc"
191078,"Manhattan Associates, Inc"
191079,Select Medical Holdings Corporation
200161,Nanya Technology Corporation
239975,Locinox
191083,"Community Health Systems, Inc"
191094,Gladstone Capital Corporation
191097,Hyatt Hotels Corporation
190737,News Corporation
191099,Solar Capital Ltd
191106,Silgan Holdings Inc
190989,Stryker Corporation
207300,"LightInTheBox Holding Co., Ltd"
207961,StoneCastle Financial Corp
208091,China Railway Group Limited
191113,Demant A/S
191115,SINA Corporation
190282,FONAR Corporation
191117,Tingyi (Cayman Islands) Holding Corp
208499,Xiaomi Corporation
238819,Cholamandalam Investment and Finance Company Limited
191122,The Macerich Company
191126,Agnico Eagle Mines Limited
191128,General Motors Company
205841,"Forward Industries, Inc"
208725,Ranpak Holdings Corp
242731,Iveda Solutions Inc
191132,"American Eagle Outfitters, Inc"
191133,LKQ Corporation
191141,La-Z-Boy Incorporated
191147,CITIC Limited
191158,Credit Suisse Group AG
204892,ESSA Pharma Inc
190465,"Boston Properties, Inc"
191160,GameStop Corp
191164,The Sherwin-Williams Company
191167,"Steven Madden, Ltd"
234926,Press Metal Bhd
191183,The Southern Company
191194,"Shoe Carnival, Inc"
191198,"Automatic Data Processing, Inc"
191204,Las Vegas Sands Corp
191206,CyberOptics Corporation
191207,CSX Corporation
191215,ReneSola Ltd
191216,GN Store Nord A/S
190610,Nucor Corporation
191219,Sonoco Products Company
234571,Hartalega Holdings Berhad
191263,"Gray Television, Inc"
191289,Turkcell Iletisim Hizmetleri A.S
191308,Libbey Inc
191330,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
240001,Algemene Bouwondernemingen Constant
240002,Brouwerij De Brabandere
240003,Chocolaterie Verleye
191333,Danaher Corporation
191341,Lundin Energy AB
239995,Pomuni Trade
190933,"Akamai Technologies, Inc"
210892,Compagnie de Saint-Gobain S.A
205055,Emera Incorporated
191085,Sirius XM Holdings Inc
191346,Tredegar Corporation
239980,Monument Chemicals
191398,Hallador Energy Company
191417,Roche Holding AG
191427,"Sturm, Ruger & Company, Inc"
191430,"Calavo Growers, Inc"
238094,Westinghouse Air Brake Technologies Corporation
191476,Resolute Forest Products Inc
191482,Loblaw Companies Limited
191480,Philip Morris International Inc
211043,Beiersdorf Aktiengesellschaft
191496,TransDigm Group Incorporated
191507,Molson Coors Beverage Company
191511,Amgen Inc
191525,"PPG Industries, Inc"
193569,Sunac China Holdings Limited
191531,"CatchMark Timber Trust, Inc"
191532,"Taubman Centers, Inc"
191539,"Huntington Ingalls Industries, Inc"
191369,"Thor Industries, Inc"
240015,Bostoen Tuinbouwbedrijf
191549,"Columbia Banking System, Inc"
191568,"AMETEK, Inc"
191572,ConocoPhillips
191576,"American Software, Inc"
193549,Kingboard Laminates Holdings Limited
190689,China Resources Land Limited
193551,China Coal Energy Company Limited
193599,Greentown Service Group Co. Ltd
193603,China Evergrande Group
193605,Vinda International Holdings Limited
212422,Motherson Sumi Systems Limited
191110,Sun Life Financial Inc
191153,"W.W. Grainger, Inc"
193888,BioLineRx Ltd
200424,Toyota Industries Corporation
194040,Elbit Systems Ltd
194083,Viper Energy Partners LP
194100,"Vishay Intertechnology, Inc"
194126,Veolia Environnement S.A
194130,Veeco Instruments Inc
194167,Winmark Corporation
194195,Wright Medical Group N.V
194204,Wix.com Ltd
194211,Welltower Inc
194060,ICL Group Ltd
239996,Ecofrost
194267,"Titan International, Inc"
194277,"Mammoth Energy Services, Inc"
191317,AmerisourceBergen Corporation
206647,"Flanigan's Enterprises, Inc"
191225,"Gulf Island Fabrication, Inc"
191409,"Discovery, Inc"
191467,TOTAL S.A
191495,PPL Corporation
194286,"United Bankshares, Inc"
223025,Digi.Com Berhad
191259,"SandRidge Energy, Inc"
194295,United States Antimony Corporation
191283,The Timken Company
213661,Securitas AB
191564,Lear Corporation
194303,Vascular Biogenics Ltd
194304,"Trupanion, Inc"
194317,"TPG RE Finance Trust, Inc"
194331,"TETRA Technologies, Inc"
194337,"The Trade Desk, Inc"
194345,"Townsquare Media, Inc"
194356,US Foods Holding Corp
194375,VBI Vaccines Inc
194381,Marriott Vacations Worldwide Corporation
194387,"Universal Insurance Holdings, Inc"
194413,"Unique Fabricating, Inc"
194422,"Urban One, Inc"
194448,Coca-Cola HBC AG
194566,Ferguson plc
194638,"Xcel Brands, Inc"
194684,"WesBanco, Inc"
195086,"RE/MAX Holdings, Inc"
243011,Alpha Tau Medical Ltd
194689,"WPX Energy, Inc"
194693,"WideOpenWest, Inc"
194695,"Worthington Industries, Inc"
243013,XPAC Acquisition Corp
194697,"Watsco, Inc"
194742,"Zynerba Pharmaceuticals, Inc"
194818,"SharpSpring, Inc"
239977,SVK NV
239979,Uitgeverij Lannoo
206817,PermRock Royalty Trust
213758,Mahindra & Mahindra Limited
194845,"SITO Mobile, Ltd"
194877,"Senseonics Holdings, Inc"
194924,"Schneider National, Inc"
239962,Nikola Corporation
205984,"QuinStreet, Inc"
194931,"Sonic Foundry, Inc"
194946,Sotherly Hotels Inc
194977,The Scotts Miracle-Gro Company
195338,Timberline Resources Corporation
194983,"Smith Micro Software, Inc"
194993,"Schmitt Industries, Inc"
195010,Renasant Corporation
195011,Rogers Corporation
195039,"Red Rock Resorts, Inc"
240004,Computer Invest
195046,"B. Riley Financial, Inc"
239973,Beyers'  Koffie
238823,Ambuja Cements Limited
195079,The RMR Group Inc
195100,"Sterling Bancorp, Inc. (Southfield, MI)"
194945,"Solaris Oilfield Infrastructure, Inc"
195101,"Southside Bancshares, Inc"
195111,Seacoast Banking Corporation of Florida
195129,SecureWorks Corp
195161,Ryerson Holding Corporation
195182,"Rhythm Pharmaceuticals, Inc"
195186,Textainer Group Holdings Limited
195202,Teleflex Incorporated
239987,Belgian Scrap Terminal
195235,"Tactile Systems Technology, Inc"
195240,TCF Financial Corporation
195308,Trustmark Corporation
195359,Teekay Tankers Ltd
